추첨일,회차,당첨번호,보너스번호,당첨번호_합계,1등_총당첨금액,1등_당첨게임수,1등_1게임당당첨금액,2등_총당첨금액,2등_당첨게임수,2등_1게임당당첨금액,3등_총당첨금액,3등_당첨게임수,3등_1게임당당첨금액,4등_총당첨금액,4등_당첨게임수,4등_1게임당당첨금액,5등_총당첨금액,5등_당첨게임수,5등_1게임당당첨금액,자동,반자동,수동,총판매금액
2002-12-07,1,"10,23,29,33,37,40",16,172,0,0,0,143934100,1,143934100,143934000,28,5140500,287695800,2537,113400,401550000,40155,10000,,,,3681782000
2002-12-14,2,"9,13,21,25,32,42",2,142,2002006800,1,2002006800,189733600,2,94866800,189726000,103,1842000,379310400,3763,100800,554800000,55480,10000,,,,4904274000
2002-12-21,3,"11,16,19,21,27,31",30,125,2000000000,1,2000000000,0,0,0,163199900,139,1174100,326106000,5940,54900,732560000,73256,10000,,,,4729342000
2002-12-28,4,"14,27,30,31,40,42",2,184,0,0,0,211191200,1,211191200,211189600,29,7282400,422381700,2777,152100,523820000,52382,10000,,,,5271464000
2003-01-04,5,"16,24,29,40,41,42",3,192,0,0,0,0,0,0,253419600,42,6033800,506659500,3043,166500,604340000,60434,10000,,,,6277102000
2003-01-11,6,"14,15,26,27,40,42",34,164,6574451700,1,6574451700,588892800,3,196297600,588887400,138,4267300,1177782000,13445,87600,1763750000,176375,10000,,,,15305356000
2003-01-18,7,"2,9,16,25,26,40",42,118,0,0,0,433485000,9,48165000,433485000,270,1605500,866499500,13229,65500,2062590000,206259,10000,,,,12794890000
2003-01-25,8,"8,19,25,34,37,39",9,162,0,0,0,789330000,6,131555000,789298800,348,2268100,1577829500,14279,110500,2482420000,248242,10000,,,,20751450000
2003-02-01,9,"2,4,16,17,36,39",14,114,0,0,0,3077826000,4,769456500,3077817600,352,8743800,6154720000,23672,260000,6033750000,603375,10000,,,,73624020000
2003-02-08,10,"9,25,30,33,41,44",6,182,83595692700,13,6430437900,9631962400,236,40813400,9631930800,11247,856400,19198288200,703234,27300,34108460000,3410846,10000,,,,260856392000
2003-02-15,11,"1,7,36,37,41,42",14,164,23900761500,5,4780152300,3983459700,11,362132700,3983438800,428,9307100,7964902000,38515,206800,6128050000,612805,10000,,,,91925306000
2003-02-22,12,"2,11,21,25,39,45",44,143,16186148400,12,1348845700,2697688800,27,99914400,2697502500,1903,1417500,5394519000,76845,70200,11150840000,1115084,10000,,,,76255508000
2003-03-01,13,"22,23,25,37,38,42",26,187,0,0,0,2599855800,6,433309300,2599830000,450,5777400,5197935600,29601,175600,7267510000,726751,10000,,,,66532136000
2003-03-08,14,"2,6,12,31,33,40",15,124,37500193200,4,9375048300,3650175200,28,130363400,3650122700,1421,2568700,7299410400,77736,93900,13417560000,1341756,10000,,,,99838648000
2003-03-15,15,"3,4,16,30,31,37",13,121,17014245000,1,17014245000,2835707200,16,177231700,2835689900,509,5571100,5668609200,39202,144600,8275380000,827538,10000,,,,73264910000
2003-03-22,16,"6,7,24,37,38,40",33,152,17508584400,4,4377146100,2918096400,12,243174700,2918042400,862,3385200,5835992500,47255,123500,8707700000,870770,10000,,,,75777348000
2003-03-29,17,"3,4,9,17,32,37",1,102,16048473600,3,5349491200,2674745100,9,297193900,2674678200,1142,2342100,5345141700,61651,86700,9611620000,961162,10000,,,,72718152000
2003-04-05,18,"3,12,13,19,32,35",29,114,0,0,0,2625259500,15,175017300,2625256800,664,3953700,5248834500,38453,136500,6933230000,693323,10000,,,,66371660000
2003-04-12,19,"6,30,38,39,40,43",26,196,40722959400,1,40722959400,4161899000,14,297278500,4161856700,697,5971100,8322738600,55154,150900,11359910000,1135991,10000,,,,105957818000
2003-04-19,20,"10,14,18,20,23,30",41,115,19352212800,1,19352212800,3225367600,14,230383400,3225304800,888,3632100,6448356200,48158,133900,8274700000,827470,10000,,,,81056776000
2003-04-26,21,"6,12,17,18,31,32",21,116,18341934200,23,797475400,3056989000,26,117576500,3056979200,2008,1522400,6108505600,82996,73600,11553680000,1155368,10000,,,,84247142000
2003-05-03,22,"4,5,6,8,17,39",25,79,18208779600,4,4552194900,3034793600,32,94837300,3034759200,827,3669600,6064947200,53248,113900,9379610000,937961,10000,,,,79455152000
2003-05-10,23,"5,13,17,18,33,42",44,128,17271790800,4,4317947700,2878631700,23,125157900,2878593200,1372,2098100,5753645100,63717,90300,9900810000,990081,10000,,,,77374256000
2003-05-17,24,"7,8,27,29,36,43",6,150,0,0,0,3168426600,18,176023700,3168402500,925,3425300,6333240000,52777,120000,7559050000,755905,10000,,,,78486634000
2003-05-24,25,"2,4,21,26,43,44",16,140,48455490600,2,24227745300,4907487200,28,175267400,4907398100,1111,4417100,9813239800,58903,166600,10962000000,1096200,10000,,,,120073768000
2003-05-31,26,"4,5,7,18,20,25",31,79,17475349500,5,3495069900,2912555100,39,74680900,2912490000,1340,2173500,5823511200,72252,80600,10970930000,1097093,10000,,,,80193026000
2003-06-07,27,"1,20,26,28,37,43",27,155,19087965000,2,9543982500,3181326400,16,198832900,3181315500,579,5494500,6360008200,33509,189800,6259250000,625925,10000,,,,76145050000
2003-06-14,28,"9,18,23,25,35,37",1,147,17003611000,10,1700361100,2833934400,22,128815200,2833874400,1164,2434600,5665473000,57870,97900,9384830000,938483,10000,,,,75448366000
2003-06-21,29,"1,5,13,34,39,40",11,132,17762970000,5,3552594000,2960493900,17,174146700,2960473600,752,3936800,5920110600,42347,139800,7656610000,765661,10000,,,,74523120000
2003-06-28,30,"8,17,20,35,36,44",4,160,17457111000,2,8728555500,2909517600,22,132250800,2909515200,872,3336600,5818862500,42319,137500,7104660000,710466,10000,,,,72399690000
2003-07-05,31,"7,9,18,23,28,35",32,120,16213345800,2,8106672900,2702222900,29,93180100,2702169000,1130,2391300,5402555000,58406,92500,8636410000,863641,10000,,,,71317306000
2003-07-12,32,"6,14,19,25,34,44",11,142,16345283000,10,1634528300,2724213800,49,55596200,2724193500,1203,2264500,5444323200,52704,103300,8347460000,834746,10000,,,,71179198000
2003-07-19,33,"4,7,32,33,40,41",9,157,14903517600,1,14903517600,2483919400,41,60583400,2483912100,1063,2336700,4963918400,52142,95200,8889430000,888943,10000,,,,67457252000
2003-07-26,34,"9,26,35,37,40,42",2,189,15284590000,5,3056918000,2547427500,45,56609500,2547339200,1264,2015300,5090961700,68519,74300,9220630000,922063,10000,,,,69389894000
2003-08-02,35,"2,3,11,26,37,43",39,122,15163794600,3,5054598200,2527298400,24,105304100,2527217100,933,2708700,5052154800,46866,107800,7798540000,779854,10000,,,,66143062000
2003-08-09,36,"1,10,23,26,28,40",31,128,16014475800,1,16014475800,2669078200,19,140477800,2669030400,768,3475300,5338115300,38321,139300,6737550000,673755,10000,,,,66856686000
2003-08-16,37,"7,27,30,33,35,37",42,169,14957998200,3,4985999400,2492998000,20,124649900,2492927300,857,2908900,4985538400,46334,107600,7824900000,782490,10000,,,,65509794000
2003-08-23,38,"16,17,22,30,37,43",36,165,16124599200,3,5374866400,2687432400,18,149301800,2687414100,679,3957900,5372882900,36377,147700,6810310000,681031,10000,,,,67369284000
2003-08-30,39,"6,7,13,15,21,43",8,105,15742492800,6,2623748800,2623747500,25,104949900,2623696500,699,3753500,5247020800,38752,135400,6809750000,680975,10000,,,,66094476000
2003-09-06,40,"7,13,18,19,25,26",6,108,14919481200,13,1147652400,2486576400,44,56513100,2486529500,1055,2356900,4972188400,65081,76400,7983740000,798374,10000,,,,65699086000
2003-09-13,41,"13,20,23,35,38,43",34,172,0,0,0,2297484000,21,109404000,2297470000,700,3282100,4594099500,33805,135900,5837440000,583744,10000,,,,57624562000
2003-09-20,42,"17,18,19,21,23,32",1,130,41395680600,6,6899280100,4601793000,35,131479800,4601656000,1405,3275200,9203125100,79543,115700,13936910000,1393691,10000,,,,119909740000
2003-09-27,43,"6,31,35,38,39,44",1,193,17749630800,1,17749630800,2958270000,21,140870000,2958199600,926,3194600,5914233600,45078,131200,7760430000,776043,10000,,,,74686296000
2003-10-04,44,"3,11,21,30,38,45",39,148,16810779000,5,3362155800,2801795600,23,121817200,2801743500,785,3569100,5600852400,40092,139700,6960510000,696051,10000,,,,69956950000
2003-10-11,45,"1,10,20,27,33,35",17,126,16712835600,2,8356417800,2785471200,27,103165600,2785433000,890,3129700,5570075000,45470,122500,7753390000,775339,10000,,,,71216232000
2003-10-18,46,"8,13,15,23,31,38",39,128,15983276400,3,5327758800,2663879400,39,68304600,2663822000,1043,2554000,5325101100,45243,117700,7451990000,745199,10000,,,,68181568000
2003-10-25,47,"14,17,26,31,36,45",27,169,16250212000,5,3250042400,2708368300,11,246215300,2708345200,902,3002600,5413372000,40580,133400,6794660000,679466,10000,,,,67756694000
2003-11-01,48,"6,10,18,26,37,38",3,135,14494041600,6,2415673600,2415672500,25,96626900,2415647300,1279,1888700,4829510400,58047,83200,8746680000,874668,10000,,,,65806832000
2003-11-08,49,"4,7,16,19,33,40",30,119,13772532200,7,1967504600,2295419700,49,46845300,2295333200,1487,1543600,4585119000,66451,69000,9296350000,929635,10000,,,,64501142000
2003-11-15,50,"2,10,12,15,22,44",1,105,15681184200,3,5227061400,2613529800,14,186680700,2613464000,826,3164000,5226391200,40296,129700,6646310000,664631,10000,,,,65563234000
2003-11-22,51,"2,3,11,16,26,44",35,102,14526702000,6,2421117000,2421114800,26,93119800,2421047300,961,2519300,4840371300,45707,105900,7065670000,706567,10000,,,,62553680000
2003-11-29,52,"2,4,15,16,20,29",1,86,15603379600,4,3900844900,2600562900,13,200043300,2600536800,669,3887200,5199750000,34665,150000,6191090000,619109,10000,,,,64393446000
2003-12-06,53,"7,8,14,32,33,39",42,133,15043113000,3,5014371000,2507185000,25,100287400,2507132200,802,3126100,5013606000,45372,110500,7426150000,742615,10000,,,,64996010000
2003-12-13,54,"1,8,21,27,36,39",37,132,15445879800,3,5148626600,2574312000,15,171620800,2574307600,719,3580400,5147935800,34854,147700,6173370000,617337,10000,,,,63833006000
2003-12-20,55,"17,21,31,37,40,44",7,190,14177599200,2,7088799600,2362932000,24,98455500,2362869600,728,3245700,4723050000,42550,111000,7468550000,746855,10000,,,,62195764000
2003-12-27,56,"10,14,30,31,33,37",19,155,15110283600,4,3777570900,2518380300,29,86840700,2518362900,1359,1853100,5033378800,41156,122300,7445660000,744566,10000,,,,65258932000
2004-01-03,57,"7,10,16,25,29,44",6,131,16457647600,4,4114411900,2742940000,25,109717600,2742912000,960,2857200,5484225000,44050,124500,7636920000,763692,10000,,,,70132666000
2004-01-10,58,"10,24,25,33,40,44",1,176,14705716800,4,3676429200,2450951100,39,62844900,2450952800,1318,1859600,4901703000,58215,84200,8809540000,880954,10000,,,,66638136000
2004-01-17,59,"6,29,36,39,41,45",13,196,16510349200,4,4127587300,2751724600,23,119640200,2751711900,651,4226900,5502584600,35026,157100,6264600000,626460,10000,,,,67563698000
2004-01-24,60,"2,8,25,36,39,42",11,152,15207532200,7,2172504600,2534587200,27,93873600,2534496000,1088,2329500,5064889600,45712,110800,7357080000,735708,10000,,,,65405936000
2004-01-31,61,"14,15,19,30,38,43",8,159,17705194000,5,3541038800,2950865500,11,268260500,2950860000,789,3740000,5899583700,41227,143100,7147840000,714784,10000,,,,73312994000
2004-02-07,62,"3,8,15,27,29,35",21,117,15817286400,1,15817286400,2636213800,22,119827900,2636137100,829,3179900,5269110400,41686,126400,7008040000,700804,10000,,,,66740368000
