회차,등위,상호,구분,주소,구글맵링크
262,1,태극로또전문점,자동,경기 이천시 애련정로 124-2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%9D%B4%EC%B2%9C%EC%8B%9C%20%EC%95%A0%EB%A0%A8%EC%A0%95%EB%A1%9C%20124-2
262,1,대박로또복권,자동,강원 원주시 관설동  1771-6패밀리마트관설에버빌점,https://www.google.com/maps/search/?api=1&query=%EA%B0%95%EC%9B%90%20%EC%9B%90%EC%A3%BC%EC%8B%9C%20%EA%B4%80%EC%84%A4%EB%8F%99%20%201771-6%ED%8C%A8%EB%B0%80%EB%A6%AC%EB%A7%88%ED%8A%B8%EA%B4%80%EC%84%A4%EC%97%90%EB%B2%84%EB%B9%8C%EC%A0%90
263,1,GS25(관악한일),자동,서울 관악구 남현동  602-11 한일빌딩 1층,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EB%82%A8%ED%98%84%EB%8F%99%20%20602-11%20%ED%95%9C%EC%9D%BC%EB%B9%8C%EB%94%A9%201%EC%B8%B5
263,1,-,자동,서울 서초구 서초동  1591-3 탑스벤처빌딩 1층 서초마트내,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%84%9C%EC%B4%88%EA%B5%AC%20%EC%84%9C%EC%B4%88%EB%8F%99%20%201591-3%20%ED%83%91%EC%8A%A4%EB%B2%A4%EC%B2%98%EB%B9%8C%EB%94%A9%201%EC%B8%B5%20%EC%84%9C%EC%B4%88%EB%A7%88%ED%8A%B8%EB%82%B4
263,1,왕대박로또방,자동,부산 해운대구 좌동  998-7 1층,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%ED%95%B4%EC%9A%B4%EB%8C%80%EA%B5%AC%20%EC%A2%8C%EB%8F%99%20%20998-7%201%EC%B8%B5
263,1,하나편의점,자동,인천 남동구 구월로 281 세븐일레븐편의점내,https://www.google.com/maps/search/?api=1&query=%EC%9D%B8%EC%B2%9C%20%EB%82%A8%EB%8F%99%EA%B5%AC%20%EA%B5%AC%EC%9B%94%EB%A1%9C%20281%20%EC%84%B8%EB%B8%90%EC%9D%BC%EB%A0%88%EB%B8%90%ED%8E%B8%EC%9D%98%EC%A0%90%EB%82%B4
263,1,예스24,자동,경기 고양시 덕양구 화정동 화정동 977 밀레니엄타워105,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B3%A0%EC%96%91%EC%8B%9C%20%EB%8D%95%EC%96%91%EA%B5%AC%20%ED%99%94%EC%A0%95%EB%8F%99%20%ED%99%94%EC%A0%95%EB%8F%99%20977%20%EB%B0%80%EB%A0%88%EB%8B%88%EC%97%84%ED%83%80%EC%9B%8C105
263,1,로또,자동,경기 김포시 사우동  872 청원프라자 107,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B9%80%ED%8F%AC%EC%8B%9C%20%EC%82%AC%EC%9A%B0%EB%8F%99%20%20872%20%EC%B2%AD%EC%9B%90%ED%94%84%EB%9D%BC%EC%9E%90%20107
264,1,C-Space 신림녹두,수동,서울 관악구 신림9동  240-3  밀라트빌딩,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EC%8B%A0%EB%A6%BC9%EB%8F%99%20%20240-3%20%20%EB%B0%80%EB%9D%BC%ED%8A%B8%EB%B9%8C%EB%94%A9
264,1,미니스톱기장점,자동,부산 기장군 차성동로 69,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EA%B8%B0%EC%9E%A5%EA%B5%B0%20%EC%B0%A8%EC%84%B1%EB%8F%99%EB%A1%9C%2069
264,1,천하명당초량점,자동,부산 동구 중앙대로221번길 3,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%8F%99%EA%B5%AC%20%EC%A4%91%EC%95%99%EB%8C%80%EB%A1%9C221%EB%B2%88%EA%B8%B8%203
264,1,복권명당,수동,대구 수성구 수성로 337 1층 동북편상가,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EC%88%98%EC%84%B1%EA%B5%AC%20%EC%88%98%EC%84%B1%EB%A1%9C%20337%201%EC%B8%B5%20%EB%8F%99%EB%B6%81%ED%8E%B8%EC%83%81%EA%B0%80
264,1,LG슈퍼,자동,경기 광명시 연서로 10,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B4%91%EB%AA%85%EC%8B%9C%20%EC%97%B0%EC%84%9C%EB%A1%9C%2010
264,1,당첨로또복권,수동,경기 안양시 동안구 포도원로 4,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%95%88%EC%96%91%EC%8B%9C%20%EB%8F%99%EC%95%88%EA%B5%AC%20%ED%8F%AC%EB%8F%84%EC%9B%90%EB%A1%9C%204
264,1,제철로또대리점,수동,전남 광양시 광장로 125 시티프라자A동116호,https://www.google.com/maps/search/?api=1&query=%EC%A0%84%EB%82%A8%20%EA%B4%91%EC%96%91%EC%8B%9C%20%EA%B4%91%EC%9E%A5%EB%A1%9C%20125%20%EC%8B%9C%ED%8B%B0%ED%94%84%EB%9D%BC%EC%9E%90A%EB%8F%99116%ED%98%B8
265,1,한미복권방,자동,서울 강동구 성내1동  550,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%8F%99%EA%B5%AC%20%EC%84%B1%EB%82%B41%EB%8F%99%20%20550
265,1,교통카드판매대,자동,서울 관악구 신림9동  240-4,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%80%EC%95%85%EA%B5%AC%20%EC%8B%A0%EB%A6%BC9%EB%8F%99%20%20240-4
265,1,세종장식,자동,서울 양천구 오목로 204,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%96%91%EC%B2%9C%EA%B5%AC%20%EC%98%A4%EB%AA%A9%EB%A1%9C%20204
265,1,가로판매(버스카드),자동,서울 영등포구 여의나루로 42 가로판매점(여의도동),https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EC%97%AC%EC%9D%98%EB%82%98%EB%A3%A8%EB%A1%9C%2042%20%EA%B0%80%EB%A1%9C%ED%8C%90%EB%A7%A4%EC%A0%90%28%EC%97%AC%EC%9D%98%EB%8F%84%EB%8F%99%29
265,1,동아슈퍼마켓,자동,경기 안산시 단원구 원곡동 748-6,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%95%88%EC%82%B0%EC%8B%9C%20%EB%8B%A8%EC%9B%90%EA%B5%AC%20%EC%9B%90%EA%B3%A1%EB%8F%99%20748-6
265,1,태흥금방,자동,경기 의정부시 의정로 118,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%8B%9C%20%EC%9D%98%EC%A0%95%EB%A1%9C%20118
265,1,승일유통,자동,충북 청주시 흥덕구 월명로 42,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%B2%AD%EC%A3%BC%EC%8B%9C%20%ED%9D%A5%EB%8D%95%EA%B5%AC%20%EC%9B%94%EB%AA%85%EB%A1%9C%2042
265,1,에버빌마트,자동,경북 안동시 강남5길 102 에버빌마트 1층,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%95%88%EB%8F%99%EC%8B%9C%20%EA%B0%95%EB%82%A85%EA%B8%B8%20102%20%EC%97%90%EB%B2%84%EB%B9%8C%EB%A7%88%ED%8A%B8%201%EC%B8%B5
266,1,안목마트,수동,서울 강북구 한천로 1024,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%B6%81%EA%B5%AC%20%ED%95%9C%EC%B2%9C%EB%A1%9C%201024
266,1,라스정보통신,자동,서울 강북구 수유동  256-22  미니스톱내,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B0%95%EB%B6%81%EA%B5%AC%20%EC%88%98%EC%9C%A0%EB%8F%99%20%20256-22%20%20%EB%AF%B8%EB%8B%88%EC%8A%A4%ED%86%B1%EB%82%B4
266,1,월드컵복권방,자동,경기 광주시 경안로 20,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EA%B4%91%EC%A3%BC%EC%8B%9C%20%EA%B2%BD%EC%95%88%EB%A1%9C%2020
267,1,대박예감,자동,경기 화성시 영통로 36 1층,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%99%94%EC%84%B1%EC%8B%9C%20%EC%98%81%ED%86%B5%EB%A1%9C%2036%201%EC%B8%B5
267,1,GS25(천안성정),자동,충남 천안시 성정동  193-17번지,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EC%B2%9C%EC%95%88%EC%8B%9C%20%EC%84%B1%EC%A0%95%EB%8F%99%20%20193-17%EB%B2%88%EC%A7%80
267,1,로또 코리아북삼점,자동,경북 칠곡군 북삼읍 인평리 인평리 1094-1,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%B9%A0%EA%B3%A1%EA%B5%B0%20%EB%B6%81%EC%82%BC%EC%9D%8D%20%EC%9D%B8%ED%8F%89%EB%A6%AC%20%EC%9D%B8%ED%8F%89%EB%A6%AC%201094-1
268,1,자양사거리 가로매점,수동,서울 광진구 자양로 95,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EA%B4%91%EC%A7%84%EA%B5%AC%20%EC%9E%90%EC%96%91%EB%A1%9C%2095
268,1,행운복권방,수동,서울 은평구 연서로 258 상가102호,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%9D%80%ED%8F%89%EA%B5%AC%20%EC%97%B0%EC%84%9C%EB%A1%9C%20258%20%EC%83%81%EA%B0%80102%ED%98%B8
268,1,공단휴게실,자동,충북 청주시 흥덕구 복대동 100-15번지,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%B6%81%20%EC%B2%AD%EC%A3%BC%EC%8B%9C%20%ED%9D%A5%EB%8D%95%EA%B5%AC%20%EB%B3%B5%EB%8C%80%EB%8F%99%20100-15%EB%B2%88%EC%A7%80
268,1,일공공일 안경콘택트,수동,경북 구미시 구미중앙로5길 2,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EA%B5%AC%EB%AF%B8%EC%8B%9C%20%EA%B5%AC%EB%AF%B8%EC%A4%91%EC%95%99%EB%A1%9C5%EA%B8%B8%202
268,1,영덕로또복권,수동,경북 영덕군 덕곡길 128,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%98%81%EB%8D%95%EA%B5%B0%20%EB%8D%95%EA%B3%A1%EA%B8%B8%20128
268,1,사랑의 꽃집,수동,경북 영주시 하망동  247-9,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%B6%81%20%EC%98%81%EC%A3%BC%EC%8B%9C%20%ED%95%98%EB%A7%9D%EB%8F%99%20%20247-9
