상호,주소,1등_배출횟수,구글맵링크
인터넷 복권판매사이트,동행복권(dhlottery.co.kr),101,https://www.google.com/maps/search/?api=1&query=%EB%8F%99%ED%96%89%EB%B3%B5%EA%B6%8C%28dhlottery.co.kr%29
스파,서울 노원구 동일로 1493 주공10단지종합상가111,48,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EB%85%B8%EC%9B%90%EA%B5%AC%20%EB%8F%99%EC%9D%BC%EB%A1%9C%201493%20%EC%A3%BC%EA%B3%B510%EB%8B%A8%EC%A7%80%EC%A2%85%ED%95%A9%EC%83%81%EA%B0%80111
부일카서비스,부산 동구 자성로133번길 35,48,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%8F%99%EA%B5%AC%20%EC%9E%90%EC%84%B1%EB%A1%9C133%EB%B2%88%EA%B8%B8%2035
로또명당인주점,충남 아산시 서해로 519-2,31,https://www.google.com/maps/search/?api=1&query=%EC%B6%A9%EB%82%A8%20%EC%95%84%EC%82%B0%EC%8B%9C%20%EC%84%9C%ED%95%B4%EB%A1%9C%20519-2
뉴빅마트,부산 기장군 정관중앙로 48 106호,30,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EA%B8%B0%EC%9E%A5%EA%B5%B0%20%EC%A0%95%EA%B4%80%EC%A4%91%EC%95%99%EB%A1%9C%2048%20106%ED%98%B8
일등복권편의점,대구 달서구 대명천로 220 1층,29,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EB%8B%AC%EC%84%9C%EA%B5%AC%20%EB%8C%80%EB%AA%85%EC%B2%9C%EB%A1%9C%20220%201%EC%B8%B5
로또휴게실,경기 용인시 기흥구 용구대로 1885,26,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%EC%9A%A9%EC%9D%B8%EC%8B%9C%20%EA%B8%B0%ED%9D%A5%EA%B5%AC%20%EC%9A%A9%EA%B5%AC%EB%8C%80%EB%A1%9C%201885
세진전자통신,대구 서구 서대구로 156,22,https://www.google.com/maps/search/?api=1&query=%EB%8C%80%EA%B5%AC%20%EC%84%9C%EA%B5%AC%20%EC%84%9C%EB%8C%80%EA%B5%AC%EB%A1%9C%20156
잠실매점,서울 송파구 올림픽로 269 잠실역 8번출구 앞 가판,20,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%86%A1%ED%8C%8C%EA%B5%AC%20%EC%98%AC%EB%A6%BC%ED%94%BD%EB%A1%9C%20269%20%EC%9E%A0%EC%8B%A4%EC%97%AD%208%EB%B2%88%EC%B6%9C%EA%B5%AC%20%EC%95%9E%20%EA%B0%80%ED%8C%90
목화휴게소,경남 사천시 사천대로 912,20,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EB%82%A8%20%EC%82%AC%EC%B2%9C%EC%8B%9C%20%EC%82%AC%EC%B2%9C%EB%8C%80%EB%A1%9C%20912
오천억복권방,광주 서구 상무대로 1087,17,https://www.google.com/maps/search/?api=1&query=%EA%B4%91%EC%A3%BC%20%EC%84%9C%EA%B5%AC%20%EC%83%81%EB%AC%B4%EB%8C%80%EB%A1%9C%201087
제이복권방,서울 종로구 종로 225-1 평창빌딩 1층 103호,16,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%A2%85%EB%A1%9C%EA%B5%AC%20%EC%A2%85%EB%A1%9C%20225-1%20%ED%8F%89%EC%B0%BD%EB%B9%8C%EB%94%A9%201%EC%B8%B5%20103%ED%98%B8
알리바이,광주 광산구 수등로 253 1층 알리바이,14,https://www.google.com/maps/search/?api=1&query=%EA%B4%91%EC%A3%BC%20%EA%B4%91%EC%82%B0%EA%B5%AC%20%EC%88%98%EB%93%B1%EB%A1%9C%20253%201%EC%B8%B5%20%EC%95%8C%EB%A6%AC%EB%B0%94%EC%9D%B4
영화유통(1등복권방),울산 남구 신정로 19 삼성아파트 상가 204-101,14,https://www.google.com/maps/search/?api=1&query=%EC%9A%B8%EC%82%B0%20%EB%82%A8%EA%B5%AC%20%EC%8B%A0%EC%A0%95%EB%A1%9C%2019%20%EC%82%BC%EC%84%B1%EC%95%84%ED%8C%8C%ED%8A%B8%20%EC%83%81%EA%B0%80%20204-101
돈벼락맞는곳,부산 동구 조방로49번길 18-1,14,https://www.google.com/maps/search/?api=1&query=%EB%B6%80%EC%82%B0%20%EB%8F%99%EA%B5%AC%20%EC%A1%B0%EB%B0%A9%EB%A1%9C49%EB%B2%88%EA%B8%B8%2018-1
복권백화점,경기 파주시 평화로 70,14,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%8C%8C%EC%A3%BC%EC%8B%9C%20%ED%8F%89%ED%99%94%EB%A1%9C%2070
행운복권방,경기 포천시 솔모루로 86-1,13,https://www.google.com/maps/search/?api=1&query=%EA%B2%BD%EA%B8%B0%20%ED%8F%AC%EC%B2%9C%EC%8B%9C%20%EC%86%94%EB%AA%A8%EB%A3%A8%EB%A1%9C%2086-1
버스판매소,서울 영등포구 영중로 2 1층(영등포동3가),13,https://www.google.com/maps/search/?api=1&query=%EC%84%9C%EC%9A%B8%20%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC%20%EC%98%81%EC%A4%91%EB%A1%9C%202%201%EC%B8%B5%28%EC%98%81%EB%93%B1%ED%8F%AC%EB%8F%993%EA%B0%80%29
